time_group,longitude,latitude,altitude,slope,landcover,landcover_type,distance,dt,simulated_speed,speed_check,timestamp
1637843660.0,-981862.9507054066,8846758.814235257,329.54045,31.236583709716797,40.0,灌木地,626857.8626753029,9.736911058425903,4.038002356227855,64379.54079213316,1637843660.0
1637843670.0,-981862.8940125502,8846757.174466524,327.92705,31.229636192321777,40.0,灌木地,586070.9715493879,10.009496927261353,4.009878101777874,58551.49122961365,1637843670.0
1637843680.0,-981861.430269667,8846754.270959493,326.8356,31.225467681884766,40.0,灌木地,469758.34892554465,10.0000479221344,4.141242343280541,46975.60977540595,1637843680.0
1637843690.0,-981859.1988916697,8846754.881807346,326.62372500000004,31.225467681884766,40.0,灌木地,496464.8028809196,9.99605393409729,4.015587107425496,49666.078850119135,1637843690.0
1637843700.0,-981855.7310827859,8846756.242219394,326.62885,31.225467681884766,40.0,灌木地,504325.40864510334,10.000704288482666,3.9488102773878753,50428.9892088811,1637843700.0
1637843710.0,-981854.0652184983,8846757.573158283,325.237925,31.233248901367187,40.0,灌木地,454563.5385068846,10.000020980834961,3.9977474897318137,45456.25847966275,1637843710.0
1637843720.0,-981847.2146408886,8846761.830796193,325.929275,31.139608764648436,40.0,灌木地,1847509.1805167042,10.000576734542847,3.9272913213653537,184740.26344253222,1637843720.0
1637843730.0,-981806.3376414673,8846782.98200607,329.594425,29.537082576751708,40.0,灌木地,5380247.321922722,10.000570058822632,4.053897562626758,537994.0633660377,1637843730.0
1637843740.0,-981795.2443929233,8846819.096802069,331.90680000000003,29.915121269226074,40.0,灌木地,6522978.032099566,9.998756170272827,3.973073860686777,652378.9480428523,1637843740.0
1637843750.0,-981880.9963978261,8846841.180459393,335.152925,32.649078607559204,40.0,灌木地,11880629.998620894,10.000356912612915,3.9022268286216084,1188020.5979085097,1637843750.0
1637843760.0,-981983.2497589054,8846861.170555133,336.960475,23.9015709400177,40.0,灌木地,8823808.246166531,10.000357866287231,4.346211073049912,882349.2483116996,1637843760.0
1637843770.0,-981998.7263224892,8846917.927746791,340.755225,14.807485246658326,40.0,灌木地,7228763.8090476375,10.00035834312439,4.872650193251749,722850.4780548865,1637843770.0
1637843780.0,-981962.4952034948,8846992.750518076,346.40477500000003,16.632278084754944,40.0,灌木地,11867803.759875031,9.999898910522461,4.778688794452619,1186792.3732095987,1637843780.0
1637843790.0,-981883.3109175081,8847092.27300127,350.504725,16.601997280120848,40.0,灌木地,13090940.086867165,9.998242855072021,4.6735755924302795,1309324.0759026217,1637843790.0
1637843800.0,-981784.3814160072,8847209.82977205,351.556825,12.720430755615235,40.0,灌木地,15521064.366695033,9.999637842178345,4.999555915698142,1552162.6494539015,1637843800.0
1637843810.0,-981649.8046991978,8847308.525380993,352.1254,10.919205045700073,40.0,灌木地,15344204.31789606,10.000128269195557,5.145457601726529,1534400.7501546177,1637843810.0
1637843820.0,-981498.7302697061,8847399.240858285,354.58205000000004,9.953790616989135,40.0,灌木地,14943237.585507046,10.000128030776978,5.270505801734494,1494304.626852463,1637843820.0
1637843830.0,-981346.7528383329,8847483.692300728,359.581775,8.571609377861023,40.0,灌木地,13616029.217273962,10.000127792358398,5.190282446556144,1361585.5217048982,1637843830.0
1637843840.0,-981179.3318280568,8847557.66210751,363.2778,6.864972722530365,40.0,灌木地,19251282.200136874,10.000128269195557,5.277973476331399,1925103.526865612,1637843840.0
1637843850.0,-980999.0037109915,8847626.330581477,365.85095,5.670754933357239,40.0,灌木地,10373890.803413622,10.000127792358398,5.432223384013861,1037375.8234710596,1637843850.0
1637843860.0,-980955.445495029,8847717.97526179,367.544375,7.874694061279297,40.0,灌木地,11815619.829156477,10.000128030776978,5.286021623342193,1181546.8554794535,1637843860.0
1637843870.0,-980892.6863663765,8847801.431784794,364.649725,11.840654850006104,40.0,灌木地,7050911.140596257,10.000127792358398,4.901805256397143,705082.1036491367,1637843870.0
1637843880.0,-980796.4482498236,8847847.085756749,360.3515,17.13626093864441,40.0,灌木地,8008097.294412231,9.999391317367554,4.787667402816512,800858.4763057806,1637843880.0
1637843890.0,-980707.8499484698,8847904.431028867,355.08389999999997,11.52459352016449,40.0,灌木地,10703505.280447766,9.999645948410034,5.075362579158569,1070388.425317163,1637843890.0
1637843900.0,-980693.0886709022,8847987.439025247,353.88065,11.232809495925903,40.0,灌木地,10967767.467760568,10.00007677078247,5.116869143136396,1096768.3267997932,1637843900.0
1637843910.0,-980698.7547825251,8848084.743580734,355.86565,9.537914538383484,40.0,灌木地,13086366.219722096,10.000075340270996,5.276032379182041,1308626.762742716,1637843910.0
